secuencia,tardanza,makespan
F-E-A-C-B-D,36.0,20.0
F-E-A-C-D-B,37.0,20.0
F-E-A-D-B-C,32.0,20.0
F-E-A-D-C-B,35.0,20.0
F-E-B-A-C-D,31.0,20.0
F-E-B-A-D-C,29.0,20.0
F-E-B-C-A-D,32.0,20.0
F-E-B-C-D-A,31.0,20.0
F-E-B-D-A-C,28.0,20.0
F-E-B-D-C-A,29.0,20.0
F-E-C-A-B-D,37.0,20.0
F-E-C-A-D-B,38.0,20.0
F-E-C-B-A-D,35.0,20.0
F-E-C-B-D-A,34.0,20.0
F-E-C-D-A-B,37.0,20.0
F-E-C-D-B-A,35.0,20.0
F-E-D-A-B-C,31.0,20.0
F-E-D-A-C-B,34.0,20.0
F-E-D-B-A-C,29.0,20.0
F-E-D-B-C-A,30.0,20.0
F-E-D-C-A-B,35.0,20.0
F-E-D-C-B-A,33.0,20.0
