secuencia,tardanza,makespan
F-E-A-C-B-D,48.0,24.0
F-E-A-C-D-B,49.0,24.0
F-E-A-D-B-C,48.0,26.0
F-E-A-D-C-B,55.0,28.0
F-E-B-A-C-D,55.0,28.0
F-E-B-A-D-C,57.0,30.0
F-E-B-C-A-D,56.0,28.0
F-E-B-C-D-A,59.0,30.0
F-E-B-D-A-C,48.0,26.0
F-E-B-D-C-A,49.0,26.0
F-E-C-A-B-D,49.0,24.0
F-E-C-A-D-B,50.0,24.0
F-E-C-B-A-D,55.0,28.0
F-E-C-B-D-A,50.0,26.0
F-E-C-D-A-B,57.0,28.0
F-E-C-D-B-A,51.0,26.0
F-E-D-A-B-C,59.0,30.0
F-E-D-A-C-B,58.0,28.0
F-E-D-B-A-C,49.0,26.0
F-E-D-B-C-A,50.0,26.0
F-E-D-C-A-B,59.0,28.0
F-E-D-C-B-A,61.0,30.0
