escenario,prob,t,sku,demanda_cajas
s8-quiebre-contrato,0.05,5,POR-480,1079.0
s8-quiebre-contrato,0.05,6,POR-480,1015.0
s8-quiebre-contrato,0.05,7,POR-480,915.0
s8-quiebre-contrato,0.05,8,POR-480,949.0
s8-quiebre-contrato,0.05,9,POR-480,889.0
s8-quiebre-contrato,0.05,10,POR-480,820.0
s8-quiebre-contrato,0.05,11,POR-480,729.0
s8-quiebre-contrato,0.05,12,POR-480,703.0
s8-quiebre-contrato,0.05,1,POR-3000,125.0
s8-quiebre-contrato,0.05,2,POR-3000,111.0
s8-quiebre-contrato,0.05,3,POR-3000,151.0
s8-quiebre-contrato,0.05,4,POR-3000,124.0
s8-quiebre-contrato,0.05,5,POR-3000,108.0
s8-quiebre-contrato,0.05,6,POR-3000,107.0
s8-quiebre-contrato,0.05,7,POR-3000,98.0
s8-quiebre-contrato,0.05,8,POR-3000,96.0
s8-quiebre-contrato,0.05,9,POR-3000,94.0
s8-quiebre-contrato,0.05,10,POR-3000,91.0
s8-quiebre-contrato,0.05,11,POR-3000,86.0
s8-quiebre-contrato,0.05,12,POR-3000,85.0
